t,x,y
5.6602150,0.0945673,-0.0853573
5.6939070,0.0938524,-0.0859938
5.7275990,0.0935655,-0.0861893
5.7612900,0.0934565,-0.0863571
5.7949820,0.0936053,-0.0862639
5.8286740,0.0940315,-0.0859997
5.8623660,0.0947311,-0.0854587
5.8960570,0.0953983,-0.0848953
5.9297490,0.0959091,-0.0844546
5.9634410,0.0962731,-0.0841434
5.9971330,0.0963846,-0.0839931
6.0308240,0.0964574,-0.0840055
